GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
loggingsecurity,com.example.loggingsecurity.entity,User,30,3,0,0,13,2,7,1,7,1
loggingsecurity,com.example.loggingsecurity.config,SecurityConfig,0,57,0,0,0,15,0,7,0,7
loggingsecurity,com.example.loggingsecurity.exception,GlobalExceptionHandler,43,3,0,0,14,1,3,1,3,1
loggingsecurity,com.example.loggingsecurity.exception,UserAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
loggingsecurity,com.example.loggingsecurity.controller,AuthController,30,6,0,0,11,3,3,1,3,1
loggingsecurity,com.example.loggingsecurity.service,AuthService,83,22,2,0,28,9,3,2,2,2
loggingsecurity,com.example.loggingsecurity.service,CustomUserDetailsService,30,6,0,0,9,3,2,1,2,1
loggingsecurity,com.example.loggingsecurity.security,JwtService,61,12,4,0,22,5,7,1,5,1
loggingsecurity,com.example.loggingsecurity.security,JwtAuthenticationFilter,65,9,10,0,26,4,6,1,1,1
loggingsecurity,com.example.loggingsecurity.dto,LoginRequest,17,0,0,0,8,0,5,0,5,0
loggingsecurity,com.example.loggingsecurity.dto,SignupRequest,17,0,0,0,8,0,5,0,5,0
loggingsecurity,com.example.loggingsecurity,LoggingsecurityApplication,5,3,0,0,2,1,1,1,1,1
